MAG,Phyllostomus discolor (080613_8),Phyllostomus discolor (080813_19),Mimon crenulatum (080813_7),Mimon crenulatum (080913_2),Phyllostomus hastatus (080913_7),Phyllostomus hastatus (080613_5),Phyllostomus hastatus (080913_8)
MAG_1,723.2664444872709,305.5044974325407,0.8896179682791557,6.222070308001776,0,1736.227996269888,19.964284006220108
MAG_10,321.1423648165876,4.9109373757118915,1.5011070806061106,36.91408553192801,0,577.9028507317622,3.132529753969613
MAG_100,9.732457552673612,3.215187189925347,0,962.3363309837544,0,0,0
MAG_101,0,2.8818939353314597,0,1755.5620884834314,0,0,0
MAG_102,20.645907500857486,0,0.08074267746439359,5104.037918135707,0,0.784049591777588,0
MAG_103,14.941480386518771,0,0.8779431849444189,8605.303784216214,0,0.0025453690737807003,0
MAG_104,4.0840483149749005,0,0.24194532445748626,2690.0343837857363,0,0.03034755033206515,0
MAG_105,189.3996572299306,0,42.045373229352805,482.1592940178876,0,5.296995308200253,0.0339623135301498
MAG_106,0.7667264720691059,0,0,2546.1182465266,0,0,0
MAG_107,0,0,0,2175.460639073319,0,0,0
MAG_108,1361.3676851169362,573.0992332369811,10.241240213356711,2984.4837150839444,1924.1760321364402,163.0914550137556,2.819755351097791
MAG_109,29.328574054582685,0,0,909.9734916652197,0,1.505250287315997,0
MAG_11,0,0,0,0,0,1571.8809586299492,32.72541125587331
MAG_110,0,0,1.7567760415421314,1302.312431480541,0,0,0
MAG_111,444.0073735908612,280.0122893302125,5.908367531241416,1372.5597679649304,46.70854727834214,0.64944682215541,0.12636748631934597
MAG_112,0,0,0,4158.793592925192,0,0.08706367059487832,0
MAG_113,19.007096137541172,8.577628867112022,0.03567580028918743,5058.339351083657,0,0.025782462865833442,0
MAG_114,5133.584683968452,46018.96721764864,11367.891030319823,3525.2778400609054,9587.227488030632,15.628711830612781,3.2379021124837433
MAG_115,0,0,0,1761.7447499869882,0,0.041692417945839805,0
MAG_116,14.726415258625819,0,0,2164.646471402824,0,0.5403622334080476,0
MAG_117,14.219310948515517,0,0,5912.290422714218,0,0.05233162991760451,0
MAG_118,2.0672014435492847,0,0,983.5539249020468,0,0.01388046614814447,0
MAG_119,214.25960488964103,1.1620192128647335,644.7396681114612,2683.2785656601804,0,0.048494926586571764,0
MAG_12,100602.04765475504,74549.88331890057,73.58833714465099,163.57100050965025,2539.821155145944,7542.150860575976,141.61637480011555
MAG_120,3294.720519540406,727.8417284528575,28.615373135476812,10651.405770245437,0,54.626869637238826,0.2577045594383982
MAG_121,0,0,0,604.2079725724899,0,0,0
MAG_122,43.77091300841019,0,0,1376.2170233944044,0,0,0
MAG_123,0,0,0,693.3599407895655,0,0.003917873867068016,0
MAG_124,0,0,2.0990640341776605,1162.211672636876,0,0,0
MAG_125,0,0,60.78544969368037,734.5595542568151,0,0.01884674302418092,0
MAG_126,638.3278020617328,0,0,719.3911976153796,0,0.07618151642598678,0
MAG_127,191.4594286398654,0,0,2365.089623395095,0,0.005982385762318015,0
MAG_128,0,0,0,1004.8629317806655,0,1.3993459736387674,0
MAG_129,142.43733771094256,0.22330135476414184,0.04933051283876166,515.2894521084406,0,0.019946648655303892,0
MAG_13,3114.9738837205336,1255.8372518024157,0.5584746804599582,2.243026293121074,0,10220.118937227735,74.45666578648955
MAG_130,0,0,0,1404.6130034668274,0,0,0
MAG_131,610.3331929623541,604.1673188447343,10.16090670299531,2726.4462568308923,2731.8341358518537,12.489083161002092,1.2941303046871158
MAG_132,704.4174578272457,216.74488378478196,7.491541407807334,28208.654041521622,0,5.306117796973179,0.14830312584180344
MAG_133,0,0,0,2996.902832694776,0,0,0
MAG_134,7.165957344130879,0,0.06614217957782323,3174.5720670090263,0,0.5343678376380658,0
MAG_135,479.18960077288034,143.8511086021837,3.1369364552700825,1869.592582631069,0,3.626981492727543,0
MAG_136,120.58695084622438,0.46942020741601975,0,1329.3742129443583,0,0.3201241686217576,0
MAG_137,0,0,0,1041.9264761182783,0,0,0
MAG_138,0,0,0,1325.957347459836,0,0,0
MAG_139,0,0,0,647.6351959439716,0,0.07309776967599392,0
MAG_14,0,0,0,0,0,688.645157986982,0
MAG_140,433.3693567238482,0,0,355.30672861261326,0,0,0
MAG_141,0,0,0,943.1904292814467,0,0,0
MAG_142,1.0813450548301424,0,2.395050084370052,1500.5218180904396,0,0,1.5611768114966653
MAG_143,12.084947291975956,16.014981091830197,0.010754156052200625,3179.9100550616176,0,0.031173305634112605,0
MAG_144,27.062009430402455,0,0.3084091947377673,711.134335881045,0,0.2429603835866715,0
MAG_145,3.1834802977894467,0,0,466.5405854532807,0,0.08271083292581477,0
MAG_146,0,0,0,655.4904356954308,0,0,0
MAG_147,0,0,0,2854.8714627260165,0,1.0040923332776837,0
MAG_148,13.960013714599912,0,0,392.7910315021428,0,0.016839023222525076,0
MAG_149,13.645297203767559,0,2.7501373963862994,1812.977430330896,0,0.3438129377554015,0
MAG_15,28.920623232521734,0,3.6468282795123743,12.502305534347514,0,684.5065003582544,20.412919805650503
MAG_150,1234.6756030819688,482.9357221171529,19.176292187614454,8597.677827290427,0,92.74774104439554,0.23754897142882997
MAG_151,18623.26388646188,359.76563590177597,741.7134067656051,8378.030812033901,0,1.4285577363553565,0.31894401720142784
MAG_152,0.2788526937493455,0,0,4190.863719838211,0,0,0
MAG_153,27974.163106999513,416179.06945246854,29.879614901177153,15442.600606340142,0,1.915541114540586,46.884080344106145
MAG_154,0,0,7.492892606516187,890.1067086262391,0,0.03808938221625183,0.027459401786655197
MAG_155,43.197651929046565,1.0582591851125336,0.7273195465491851,6222.570534988755,0,0.08593619129518482,0
MAG_156,0,0,0,4173.817619701773,0,0,0
MAG_157,0,0,0,473.56611494424715,0,0,0
MAG_158,12.008017042786044,0,0,3414.046299311607,0,1.505673270995009,0
MAG_159,0.6425362504475916,24.176645839626023,22.754378021871197,528.8529440306469,0,0.035479524936704414,0.07130264873373596
MAG_16,0,395.2564245678406,0,0,0,708.9615695782098,239.81279891581357
MAG_160,20.05627486324891,3.3904627510882634,0.2385936004005936,3736.09516269634,0,0.4309275916178525,0
MAG_161,0,0,6.545960975057758,554.7901273952946,0,0.09609645002129778,0
MAG_162,0,0,0,4340.635404902026,0,0,0
MAG_163,61.58886972602871,0,0,762.4673987746211,0,1.9889413531202758,0
MAG_164,0.7573881527620546,26.327275569976074,0.1558922973570829,758.7202536207062,0,0.04856141514149956,0
MAG_165,0,0,0,665.6583049087955,0,0,0
MAG_166,37.06881806010431,61.911289278880005,0,600.2146379119154,0,0.02718060169008532,0
