"","Phyllostomus disoclor (080613_8)","Phyllostomus disoclor (080813_19)","Mimon crenulatum (080813_7)","Mimon crenulatum (080913_2)","Phyllostomus hastatus (080613_5)","Phyllostomus hastatus (080913_8)"
"Phyllostomus disoclor (080613_8)",0,0.845376196794578,1.26595197163796,1.16237544253038,1.23240396923741,1.20440741213841
"Phyllostomus disoclor (080813_19)",0.845376196794578,0,1.26200828046763,1.16326961496056,1.31063842209983,1.31497649896014
"Mimon crenulatum (080813_7)",1.26595197163796,1.26200828046763,0,0.992938018200492,1.37963479362253,1.36841497206848
"Mimon crenulatum (080913_2)",1.16237544253038,1.16326961496056,0.992938018200492,0,1.36535455157249,1.33741369351424
"Phyllostomus hastatus (080613_5)",1.23240396923741,1.31063842209983,1.37963479362253,1.36535455157249,0,0.689261604594514
"Phyllostomus hastatus (080913_8)",1.20440741213841,1.31497649896014,1.36841497206848,1.33741369351424,0.689261604594514,0
