MAG,clean_MAG,contig
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_936170
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1815001
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1106579
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1408940
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_278624
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_148572
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_936721
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1337062
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1541791
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1763778
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_882172
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_395792
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1486753
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1059460
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1371674
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_480585
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_965379
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_521464
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1678527
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1342588
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_953505
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_129631
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1301686
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1181477
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1645388
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1733254
