domain,phylum,host_family,viral_tax,vgroup,lifestyle,num_votu,num_mags,iphop,phase,Prediction
Bacteria,Bacillota,Lactobacillaceae,Unclassified,vgroup_108,lysogenic,3,5,TRUE,FALSE,iphop
Bacteria,Bacillota,Gemellaceae,Unclassified,vgroup_88,lysogenic,3,5,TRUE,TRUE,both
Bacteria,Bacillota,Lactobacillaceae,Unclassified,vgroup_109,lytic,3,5,TRUE,FALSE,iphop
Bacteria,Bacillota,Gemellaceae,Unclassified,vgroup_89,lytic,4,5,TRUE,FALSE,iphop
Bacteria,Bacillota,Staphylococcaceae,Herelleviridae; Unclassified family,vgroup_172,lysogenic,1,6,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Actinomycetaceae,Unclassified,vgroup_dub_163,lysogenic,1,6,TRUE,FALSE,iphop
Bacteria,Bacillota,Staphylococcaceae,Mimiviridae,vgroup_173,lytic,1,6,TRUE,FALSE,iphop
Bacteria,Pseudomonadota,Enterobacteriaceae,Peduoviridae; Unclassified family,vgroup_67,lytic,1,6,TRUE,FALSE,iphop
Bacteria,Pseudomonadota,Enterobacteriaceae,Caudoviricetes; Unclassified order,vgroup_dub_864,lytic,1,6,FALSE,TRUE,phase
Bacteria,Actinomycetota,Actinomycetaceae,Caudoviricetes; Unclassified order,vgroup_4,unclear,1,6,FALSE,TRUE,phase
Bacteria,Pseudomonadota,Enterobacteriaceae,Caudoviricetes; Unclassified order,vgroup_64,lysogenic,12,6,TRUE,TRUE,both
Bacteria,Actinomycetota,Actinomycetaceae,Caudoviricetes; Unclassified order,vgroup_3,lytic,16,6,TRUE,TRUE,both
Bacteria,Bacillota,Staphylococcaceae,Unclassified,vgroup_174,lysogenic,2,6,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Actinomycetaceae,Unclassified,vgroup_6,lysogenic,2,6,TRUE,FALSE,iphop
Bacteria,Bacillota,Staphylococcaceae,Caudoviricetes; Unclassified order,vgroup_171,unclear,2,6,TRUE,TRUE,both
Bacteria,Actinomycetota,Actinomycetaceae,Caudoviricetes; Unclassified order,vgroup_2,lysogenic,3,6,TRUE,TRUE,both
Bacteria,Pseudomonadota,Enterobacteriaceae,Caudoviricetes; Unclassified order,vgroup_66,unclear,3,6,TRUE,TRUE,both
Bacteria,Bacillota,Staphylococcaceae,Caudoviricetes; Unclassified order,vgroup_170,lytic,33,6,TRUE,TRUE,both
Bacteria,Pseudomonadota,Enterobacteriaceae,Caudoviricetes; Unclassified order,vgroup_65,lytic,34,6,TRUE,TRUE,both
Bacteria,Bacillota,Staphylococcaceae,Caudoviricetes; Unclassified order,vgroup_169,lysogenic,7,6,TRUE,TRUE,both
Bacteria,Bacillota,Staphylococcaceae,Unclassified,vgroup_175,lytic,8,6,TRUE,FALSE,iphop
Bacteria,Pseudomonadota,Enterobacteriaceae,Unclassified,vgroup_68,lysogenic,9,6,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Propionibacteriaceae,Unclassified,vgroup_155,lytic,1,8,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Propionibacteriaceae,Caudoviricetes; Unclassified order,vgroup_154,unclear,1,8,FALSE,TRUE,phase
Bacteria,Actinomycetota,Propionibacteriaceae,Caudoviricetes; Unclassified order,vgroup_153,lytic,15,8,TRUE,TRUE,both
Bacteria,Actinomycetota,Propionibacteriaceae,Caudoviricetes; Unclassified order,vgroup_152,lysogenic,5,8,TRUE,TRUE,both
Bacteria,Desulfobacterota,Desulfovibrionaceae,Autographiviridae; Unclassified family,vgroup_52,lysogenic,1,9,FALSE,TRUE,phase
Bacteria,Desulfobacterota,Desulfovibrionaceae,Kyanoviridae; Unclassified family,vgroup_57,lysogenic,1,9,TRUE,FALSE,iphop
Bacteria,Bacillota,Streptococcaceae,Caudoviricetes; Unclassified order,vgroup_dub_195,lysogenic,1,9,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Dermatophilaceae,Caudoviricetes; Unclassified order,vgroup_dub_226,lysogenic,1,9,TRUE,FALSE,iphop
Bacteria,Bacillota,Streptococcaceae,Iridoviridae,vgroup_181,lytic,1,9,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Dermatophilaceae,Unclassified,vgroup_48,lytic,1,9,TRUE,FALSE,iphop
Bacteria,Bacillota,Streptococcaceae,Caudoviricetes; Unclassified order,vgroup_dub_533,lytic,1,9,FALSE,TRUE,phase
Bacteria,Actinomycetota,Dermatophilaceae,Caudoviricetes; Unclassified order,vgroup_dub_595,lytic,1,9,FALSE,TRUE,phase
Bacteria,Desulfobacterota,Desulfovibrionaceae,Caudoviricetes; Unclassified order,vgroup_dub_864,lytic,1,9,FALSE,TRUE,phase
Bacteria,Bacillota,Streptococcaceae,Unclassified,vgroup_184,unclear,1,9,TRUE,FALSE,iphop
Bacteria,Desulfobacterota,Desulfovibrionaceae,Unclassified,vgroup_60,unclear,1,9,TRUE,FALSE,iphop
Bacteria,Desulfobacterota,Desulfovibrionaceae,Unclassified,vgroup_59,lytic,10,9,TRUE,FALSE,iphop
Bacteria,Bacillota,Streptococcaceae,Caudoviricetes; Unclassified order,vgroup_180,unclear,12,9,TRUE,TRUE,both
Bacteria,Actinomycetota,Dermatophilaceae,Caudoviricetes; Unclassified order,vgroup_47,lytic,16,9,TRUE,TRUE,both
Bacteria,Desulfobacterota,Desulfovibrionaceae,Caudoviricetes; Unclassified order,vgroup_55,lytic,17,9,TRUE,TRUE,both
Bacteria,Desulfobacterota,Desulfovibrionaceae,Unclassified,vgroup_58,lysogenic,2,9,TRUE,FALSE,iphop
Bacteria,Desulfobacterota,Desulfovibrionaceae,Caudoviricetes; Unclassified order,vgroup_56,unclear,2,9,FALSE,TRUE,phase
Bacteria,Actinomycetota,Dermatophilaceae,Caudoviricetes; Unclassified order,vgroup_46,lysogenic,3,9,TRUE,TRUE,both
Bacteria,Bacillota,Streptococcaceae,Caudoviricetes; Unclassified order,vgroup_178,lysogenic,33,9,TRUE,TRUE,both
Bacteria,Bacillota,Streptococcaceae,Caudoviricetes; Unclassified order,vgroup_179,lytic,65,9,TRUE,TRUE,both
Bacteria,Bacillota,Streptococcaceae,Unclassified,vgroup_182,lysogenic,7,9,TRUE,FALSE,iphop
Bacteria,Desulfobacterota,Desulfovibrionaceae,Caudoviricetes; Unclassified order,vgroup_54,lysogenic,7,9,TRUE,TRUE,both
Bacteria,Bacillota,Streptococcaceae,Unclassified,vgroup_183,lytic,9,9,TRUE,FALSE,iphop
