clean_MAG,MAG,OTU_ID,phylum,host_family
MAG_223,raw-080913-8-1-ph_rerun_bin_39,mOTU_20617,Desulfobacterota,UBA2174_A
MAG_186,raw-080913-8-1-ph_bin_39,mOTU_153115,Desulfobacterota,Desulfovibrionaceae
MAG_198,raw-080913-8-1-ph_bin_60,mOTU_29529,Bacillota_A,Peptostreptococcaceae
MAG_16,raw-080613-5-ph_rerun_bin_2,mOTU_36639,Thermoproteota,JANJXX01; Unclassified order; Unclassified family
MAG_101,raw-080913-2_bin_3,mOTU_31050,Thermoproteota,JANJXX01; Unclassified order; Unclassified family
MAG_232,raw-080913-8-1-ph_rerun_bin_57,mOTU_42040,Methanobacteriota,Methanobacteriaceae
MAG_236,raw-080913-8-1-ph_rerun_bin_70,mOTU_42036,Methanobacteriota,Methanobacteriaceae
MAG_234,raw-080913-8-1-ph_rerun_bin_61,mOTU_128590,Bacillota,Gemellaceae
MAG_234,raw-080913-8-1-ph_rerun_bin_61,mOTU_129260,Bacillota,Gemellaceae
MAG_237,raw-080913-8-1-ph_rerun_bin_71,mOTU_129569,Bacillota,Gemellaceae
MAG_237,raw-080913-8-1-ph_rerun_bin_71,mOTU_129605,Bacillota,Gemellaceae
MAG_234,raw-080913-8-1-ph_rerun_bin_61,mOTU_129714,Bacillota,Gemellaceae
MAG_200,raw-080913-8-1-ph_bin_64,mOTU_141476,Bacillota,Streptococcaceae
MAG_234,raw-080913-8-1-ph_rerun_bin_61,mOTU_141208,Bacillota,Gemellaceae
MAG_196,raw-080913-8-1-ph_bin_57,mOTU_139685,Pseudomonadota,Pasteurellaceae
MAG_196,raw-080913-8-1-ph_bin_57,mOTU_140918,Pseudomonadota,Pasteurellaceae
MAG_200,raw-080913-8-1-ph_bin_64,mOTU_129585,Bacillota,Streptococcaceae
MAG_238,raw-080913-8-1-ph_rerun_bin_72,mOTU_141479,Bacillota,Streptococcaceae
MAG_29,raw-080613-5-ph_rerun_bin_43,mOTU_135332,Actinomycetota,Mycobacteriaceae
MAG_7,raw-080613-5-ph_rerun_bin_18,mOTU_140347,Actinomycetota,Dermatophilaceae
MAG_237,raw-080913-8-1-ph_rerun_bin_71,mOTU_135673,Bacillota,Gemellaceae
MAG_39,raw-080613-5-ph_rerun_bin_56,mOTU_140943,Bacillota,Aerococcaceae
MAG_6,raw-080613-5-ph_rerun_bin_16,mOTU_132073,Actinomycetota,Jatrophihabitantaceae
MAG_213,raw-080913-8-1-ph_rerun_bin_1,mOTU_130901,Pseudomonadota,Enterobacteriaceae
MAG_13,raw-080613-5-ph_rerun_bin_26,mOTU_131218,Actinomycetota,Dermabacteraceae
MAG_39,raw-080613-5-ph_rerun_bin_56,mOTU_143626,Bacillota,Aerococcaceae
MAG_15,raw-080613-5-ph_rerun_bin_28,mOTU_139232,Bacillota,Staphylococcaceae
MAG_237,raw-080913-8-1-ph_rerun_bin_71,mOTU_141384,Bacillota,Gemellaceae
MAG_121,raw-080913-2_bin_65,mOTU_140660,Actinomycetota,Brevibacteriaceae
MAG_30,raw-080613-5-ph_rerun_bin_44,mOTU_140259,Bacillota,Staphylococcaceae
MAG_35,raw-080613-5-ph_rerun_bin_50,mOTU_128843,Bacillota,Streptococcaceae
MAG_180,raw-080913-8-1-ph_bin_26,mOTU_131748,Actinomycetota,Actinomycetaceae
MAG_235,raw-080913-8-1-ph_rerun_bin_63,mOTU_141394,Bacillota,Gemellaceae
MAG_238,raw-080913-8-1-ph_rerun_bin_72,mOTU_129638,Bacillota,Streptococcaceae
MAG_192,raw-080913-8-1-ph_bin_47,mOTU_141334,Pseudomonadota,Pasteurellaceae
MAG_46,raw-080613-5-ph_rerun_bin_7,mOTU_140429,Actinomycetota,Micromonosporaceae
MAG_31,raw-080613-5-ph_rerun_bin_46,mOTU_130893,Actinomycetota,Mycobacteriaceae
MAG_35,raw-080613-5-ph_rerun_bin_50,mOTU_140027,Bacillota,Streptococcaceae
